statement,label,relation,subject,target,true_target
Eat Static was from Belarus.,0,{} was from,Eat Static,Belarus,England
Abu Bakr siddiq follows the religion of Islam.,1,{} follows the religion of,Abu Bakr siddiq,Islam,Islam
Abu Bakr siddiq follows the religion of Buddhism.,0,{} follows the religion of,Abu Bakr siddiq,Buddhism,Islam
"Sir Sydney Waterlow, 1st Baronet worked in the city of London.",1,{} worked in the city of,"Sir Sydney Waterlow, 1st Baronet",London,London
"Sir Sydney Waterlow, 1st Baronet worked in the city of Hollywood.",0,{} worked in the city of,"Sir Sydney Waterlow, 1st Baronet",Hollywood,London
"In Chhattisgarh, an official language is Hindi.",1,"In {}, an official language is",Chhattisgarh,Hindi,Hindi
"In Chhattisgarh, an official language is Filipino.",0,"In {}, an official language is",Chhattisgarh,Filipino,Hindi
The occupation of Kikunae Ikeda is chemist.,1,The occupation of {} is,Kikunae Ikeda,chemist,chemist
The occupation of Kikunae Ikeda is actor.,0,The occupation of {} is,Kikunae Ikeda,actor,chemist
3 South was released on MTV.,1,{} was released on,3 South,MTV,MTV
3 South was released on NBC.,0,{} was released on,3 South,NBC,MTV
YUI Library is developed by Yahoo.,1,{} is developed by,YUI Library,Yahoo,Yahoo
YUI Library is developed by Microsoft.,0,{} is developed by,YUI Library,Microsoft,Yahoo
The original language of Singham was Hindi.,1,The original language of {} was,Singham,Hindi,Hindi
The original language of Singham was Spanish.,0,The original language of {} was,Singham,Spanish,Hindi
The location of The Leys School is Cambridge.,1,The location of {} is,The Leys School,Cambridge,Cambridge
The location of The Leys School is Melbourne.,0,The location of {} is,The Leys School,Melbourne,Cambridge
Adam Kendon was born in London.,1,{} was born in,Adam Kendon,London,London
Adam Kendon was born in Edinburgh.,0,{} was born in,Adam Kendon,Edinburgh,London
Georges Rouault expired at Paris.,1,{} expired at,Georges Rouault,Paris,Paris
Georges Rouault expired at Amsterdam.,0,{} expired at,Georges Rouault,Amsterdam,Paris
The language used by Zacharie Astruc is French.,1,The language used by {} is,Zacharie Astruc,French,French
The language used by Zacharie Astruc is Spanish.,0,The language used by {} is,Zacharie Astruc,Spanish,French
Ernest Cormier was originally from Montreal.,1,{} was originally from,Ernest Cormier,Montreal,Montreal
Ernest Cormier was originally from Lancaster.,0,{} was originally from,Ernest Cormier,Lancaster,Montreal
Sheikh Abubakr Ahmad is affiliated with the religion Islam.,1,{} is affiliated with the religion,Sheikh Abubakr Ahmad,Islam,Islam
Sheikh Abubakr Ahmad is affiliated with the religion Buddhism.,0,{} is affiliated with the religion,Sheikh Abubakr Ahmad,Buddhism,Islam
Sydney is a twin city of Portsmouth.,1,{} is a twin city of,Sydney,Portsmouth,Portsmouth
Sydney is a twin city of Manchester.,0,{} is a twin city of,Sydney,Manchester,Portsmouth
Nicolas Bergasse found employment in Paris.,1,{} found employment in,Nicolas Bergasse,Paris,Paris
Nicolas Bergasse found employment in London.,0,{} found employment in,Nicolas Bergasse,London,Paris
"In Haparanda Municipality, the language spoken is Swedish.",1,"In {}, the language spoken is",Haparanda Municipality,Swedish,Swedish
"In Haparanda Municipality, the language spoken is Danish.",0,"In {}, the language spoken is",Haparanda Municipality,Danish,Swedish
Lloyd Berkner was native to Milwaukee.,1,{} was native to,Lloyd Berkner,Milwaukee,Milwaukee
Lloyd Berkner was native to Auckland.,0,{} was native to,Lloyd Berkner,Auckland,Milwaukee
Sylencer started in Chicago.,1,{} started in,Sylencer,Chicago,Chicago
Sylencer started in Glasgow.,0,{} started in,Sylencer,Glasgow,Chicago
Caleb TerBush plays in the position of quarterback.,1,{} plays in the position of,Caleb TerBush,quarterback,quarterback
Caleb TerBush plays in the position of pitcher.,0,{} plays in the position of,Caleb TerBush,pitcher,quarterback
Show Me a Hero debuted on HBO.,1,{} debuted on,Show Me a Hero,HBO,HBO
Show Me a Hero debuted on CBS.,0,{} debuted on,Show Me a Hero,CBS,HBO
Fanny Mendelssohn was employed in Berlin.,1,{} was employed in,Fanny Mendelssohn,Berlin,Berlin
Fanny Mendelssohn was employed in London.,0,{} was employed in,Fanny Mendelssohn,London,Berlin
Jacintha Abisheganaden performs jazz.,1,{} performs,Jacintha Abisheganaden,jazz,jazz
Jacintha Abisheganaden performs portrait.,0,{} performs,Jacintha Abisheganaden,portrait,jazz
Terry Crews plays football.,1,{} plays,Terry Crews,football,football
Terry Crews plays soccer.,0,{} plays,Terry Crews,soccer,football
UFO Hunters is to debut on History.,1,{} is to debut on,UFO Hunters,History,History
UFO Hunters is to debut on MTV.,0,{} is to debut on,UFO Hunters,MTV,History
Windows Server 2012 was developed by Microsoft.,1,{} was developed by,Windows Server 2012,Microsoft,Microsoft
Windows Server 2012 was developed by Apple.,0,{} was developed by,Windows Server 2012,Apple,Microsoft
IBM Lotus SmartSuite was created by IBM.,1,{} was created by,IBM Lotus SmartSuite,IBM,IBM
IBM Lotus SmartSuite was created by Apple.,0,{} was created by,IBM Lotus SmartSuite,Apple,IBM
Queens Supreme is to debut on CBS.,1,{} is to debut on,Queens Supreme,CBS,CBS
Queens Supreme is to debut on BBC.,0,{} is to debut on,Queens Supreme,BBC,CBS
Reverchon Park is in Dallas.,1,{} is in,Reverchon Park,Dallas,Dallas
Reverchon Park is in Queensland.,0,{} is in,Reverchon Park,Queensland,Dallas
The location of 2002 Karachi bus bombing is Karachi.,1,The location of {} is,2002 Karachi bus bombing,Karachi,Karachi
The location of 2002 Karachi bus bombing is Atlanta.,0,The location of {} is,2002 Karachi bus bombing,Atlanta,Karachi
Chevrolet Corsica is a product of Chevrolet.,1,{} is a product of,Chevrolet Corsica,Chevrolet,Chevrolet
Chevrolet Corsica is a product of Dodge.,0,{} is a product of,Chevrolet Corsica,Dodge,Chevrolet
Jorge Medina Estévez holds the title of cardinal.,1,{} holds the title of,Jorge Medina Estévez,cardinal,cardinal
Jorge Medina Estévez holds the title of pope.,0,{} holds the title of,Jorge Medina Estévez,pope,cardinal
The occupation of Oskar Lafontaine is politician.,1,The occupation of {} is,Oskar Lafontaine,politician,politician
The occupation of Oskar Lafontaine is prophet.,0,The occupation of {} is,Oskar Lafontaine,prophet,politician
mitochondrial Eve is called after Eve.,1,{} is called after,mitochondrial Eve,Eve,Eve
mitochondrial Eve is called after Naples.,0,{} is called after,mitochondrial Eve,Naples,Eve
Claudio Abbado is native to Milan.,1,{} is native to,Claudio Abbado,Milan,Milan
Claudio Abbado is native to Cornwall.,0,{} is native to,Claudio Abbado,Cornwall,Milan
Bassekou Kouyate holds a citizenship from Mali.,1,{} holds a citizenship from,Bassekou Kouyate,Mali,Mali
Bassekou Kouyate holds a citizenship from Canada.,0,{} holds a citizenship from,Bassekou Kouyate,Canada,Mali
Wavertree can be found in England.,1,{} can be found in,Wavertree,England,England
Wavertree can be found in Berlin.,0,{} can be found in,Wavertree,Berlin,England
Nicolle Dickson's profession is an actor.,1,{}'s profession is an,Nicolle Dickson,actor,actor
Nicolle Dickson's profession is an journalist.,0,{}'s profession is an,Nicolle Dickson,journalist,actor
The Two Babylons was created in Scotland.,1,{} was created in,The Two Babylons,Scotland,Scotland
The Two Babylons was created in France.,0,{} was created in,The Two Babylons,France,Scotland
16 and Pregnant debuted on MTV.,1,{} debuted on,16 and Pregnant,MTV,MTV
16 and Pregnant debuted on BBC.,0,{} debuted on,16 and Pregnant,BBC,MTV
Joe Malloori works as actor.,1,{} works as,Joe Malloori,actor,actor
Joe Malloori works as journalist.,0,{} works as,Joe Malloori,journalist,actor
DC-9 is produced by Douglas.,1,{} is produced by,DC-9,Douglas,Douglas
DC-9 is produced by Renault.,0,{} is produced by,DC-9,Renault,Douglas
Michel Larocque plays as goaltender.,1,{} plays as,Michel Larocque,goaltender,goaltender
Michel Larocque plays as quarterback.,0,{} plays as,Michel Larocque,quarterback,goaltender
Gaston d'Audiffret-Pasquier worked in Paris.,1,{} worked in,Gaston d'Audiffret-Pasquier,Paris,Paris
Gaston d'Audiffret-Pasquier worked in Edinburgh.,0,{} worked in,Gaston d'Audiffret-Pasquier,Edinburgh,Paris
Feral Tribune is written in Croatian.,1,{} is written in,Feral Tribune,Croatian,Croatian
Feral Tribune is written in Hebrew.,0,{} is written in,Feral Tribune,Hebrew,Croatian
The original language of The Man Who Counted was Portuguese.,1,The original language of {} was,The Man Who Counted,Portuguese,Portuguese
The original language of The Man Who Counted was English.,0,The original language of {} was,The Man Who Counted,English,Portuguese
Barwick Valley is located in the continent Antarctica.,1,{} is located in the continent,Barwick Valley,Antarctica,Antarctica
Barwick Valley is located in the continent Europe.,0,{} is located in the continent,Barwick Valley,Europe,Antarctica
The headquarter of Milano Vipers is located in Milan.,1,The headquarter of {} is located in,Milano Vipers,Milan,Milan
The headquarter of Milano Vipers is located in Southampton.,0,The headquarter of {} is located in,Milano Vipers,Southampton,Milan
The headquarter of Istanbul Agop Cymbals is in Istanbul.,1,The headquarter of {} is in,Istanbul Agop Cymbals,Istanbul,Istanbul
The headquarter of Istanbul Agop Cymbals is in Wellington.,0,The headquarter of {} is in,Istanbul Agop Cymbals,Wellington,Istanbul
The law in European Union declares the language Irish.,1,The law in {} declares the language,European Union,Irish,Irish
The law in European Union declares the language Russian.,0,The law in {} declares the language,European Union,Russian,Irish
Amici Forever performs opera.,1,{} performs,Amici Forever,opera,opera
Amici Forever performs jazz.,0,{} performs,Amici Forever,jazz,opera
Carl Jakob Sundevall speaks Swedish.,1,{} speaks,Carl Jakob Sundevall,Swedish,Swedish
Carl Jakob Sundevall speaks English.,0,{} speaks,Carl Jakob Sundevall,English,Swedish
Wolfgang of Regensburg holds the position of bishop.,1,{} holds the position of,Wolfgang of Regensburg,bishop,bishop
Wolfgang of Regensburg holds the position of mayor.,0,{} holds the position of,Wolfgang of Regensburg,mayor,bishop
Gough Whitlam spoke the language English.,1,{} spoke the language,Gough Whitlam,English,English
Gough Whitlam spoke the language French.,0,{} spoke the language,Gough Whitlam,French,English
"In Kotka, the language spoken is Finnish.",1,"In {}, the language spoken is",Kotka,Finnish,Finnish
"In Kotka, the language spoken is French.",0,"In {}, the language spoken is",Kotka,French,Finnish
Torreys Peak is in Colorado.,1,{} is in,Torreys Peak,Colorado,Colorado
Torreys Peak is in Manchester.,0,{} is in,Torreys Peak,Manchester,Colorado
The location of Russian Civil War is Mongolia.,1,The location of {} is,Russian Civil War,Mongolia,Mongolia
The location of Russian Civil War is Moscow.,0,The location of {} is,Russian Civil War,Moscow,Mongolia
The official language of Virginia is English.,1,The official language of {} is,Virginia,English,English
The official language of Virginia is Finnish.,0,The official language of {} is,Virginia,Finnish,English
Paris-Charles de Gaulle Airport is called after Paris.,1,{} is called after,Paris-Charles de Gaulle Airport,Paris,Paris
Paris-Charles de Gaulle Airport is called after Stockholm.,0,{} is called after,Paris-Charles de Gaulle Airport,Stockholm,Paris
Nicktoons was created in the country of Brazil.,1,{} was created in the country of,Nicktoons,Brazil,Brazil
Nicktoons was created in the country of Italy.,0,{} was created in the country of,Nicktoons,Italy,Brazil
James Callaghan used to work in London.,1,{} used to work in,James Callaghan,London,London
James Callaghan used to work in Beijing.,0,{} used to work in,James Callaghan,Beijing,London
Anderson Heights is a part of the continent of Antarctica.,1,{} is a part of the continent of,Anderson Heights,Antarctica,Antarctica
Anderson Heights is a part of the continent of Europe.,0,{} is a part of the continent of,Anderson Heights,Europe,Antarctica
Mexican Football Federation is affiliated with the FIFA.,1,{} is affiliated with the,Mexican Football Federation,FIFA,FIFA
Mexican Football Federation is affiliated with the NATO.,0,{} is affiliated with the,Mexican Football Federation,NATO,FIFA
The twin city of Vienna is Budapest.,1,The twin city of {} is,Vienna,Budapest,Budapest
The twin city of Vienna is Santiago.,0,The twin city of {} is,Vienna,Santiago,Budapest
Alexander Shirvanzade speaks Armenian.,1,{} speaks,Alexander Shirvanzade,Armenian,Armenian
Alexander Shirvanzade speaks French.,0,{} speaks,Alexander Shirvanzade,French,Armenian
Musicians Institute can be found in Hollywood.,1,{} can be found in,Musicians Institute,Hollywood,Hollywood
Musicians Institute can be found in Waterloo.,0,{} can be found in,Musicians Institute,Waterloo,Hollywood
Randy Sabien plays jazz.,1,{} plays,Randy Sabien,jazz,jazz
Randy Sabien plays poker.,0,{} plays,Randy Sabien,poker,jazz
The law in Oklahoma declares the language English.,1,The law in {} declares the language,Oklahoma,English,English
The law in Oklahoma declares the language Swedish.,0,The law in {} declares the language,Oklahoma,Swedish,English
Karl Krumbacher found employment in Munich.,1,{} found employment in,Karl Krumbacher,Munich,Munich
Karl Krumbacher found employment in London.,0,{} found employment in,Karl Krumbacher,London,Munich
Jean Gruault speaks the language French.,1,{} speaks the language,Jean Gruault,French,French
Jean Gruault speaks the language Latin.,0,{} speaks the language,Jean Gruault,Latin,French
Jean Nicolas Pierre Hachette passed away at Paris.,1,{} passed away at,Jean Nicolas Pierre Hachette,Paris,Paris
Jean Nicolas Pierre Hachette passed away at Florence.,0,{} passed away at,Jean Nicolas Pierre Hachette,Florence,Paris
Paul Hoecker expired at Munich.,1,{} expired at,Paul Hoecker,Munich,Munich
Paul Hoecker expired at London.,0,{} expired at,Paul Hoecker,London,Munich
Júlio Baptista plays soccer.,1,{} plays,Júlio Baptista,soccer,soccer
Júlio Baptista plays hockey.,0,{} plays,Júlio Baptista,hockey,soccer
Philip Ahn works as actor.,1,{} works as,Philip Ahn,actor,actor
Philip Ahn works as philosopher.,0,{} works as,Philip Ahn,philosopher,actor
Methuen Treaty is located in Lisbon.,1,{} is located in,Methuen Treaty,Lisbon,Lisbon
Methuen Treaty is located in Belfast.,0,{} is located in,Methuen Treaty,Belfast,Lisbon
The capital city of South Korea is Seoul.,1,The capital city of {} is,South Korea,Seoul,Seoul
The capital city of South Korea is Constantinople.,0,The capital city of {} is,South Korea,Constantinople,Seoul
Marshall Mountains is located in Antarctica.,1,{} is located in,Marshall Mountains,Antarctica,Antarctica
Marshall Mountains is located in Asia.,0,{} is located in,Marshall Mountains,Asia,Antarctica
Mount Carmel can be found in Illinois.,1,{} can be found in,Mount Carmel,Illinois,Illinois
Mount Carmel can be found in Munich.,0,{} can be found in,Mount Carmel,Munich,Illinois
Arthur Benjamin is known for performing opera.,1,{} is known for performing,Arthur Benjamin,opera,opera
Arthur Benjamin is known for performing jazz.,0,{} is known for performing,Arthur Benjamin,jazz,opera
Kotis Point is located in the continent Antarctica.,1,{} is located in the continent,Kotis Point,Antarctica,Antarctica
Kotis Point is located in the continent Europe.,0,{} is located in the continent,Kotis Point,Europe,Antarctica
Huo Guang's occupation is politician.,1,{}'s occupation is,Huo Guang,politician,politician
Huo Guang's occupation is actor.,0,{}'s occupation is,Huo Guang,actor,politician
"In Luhansk People's Republic, they understand Russian.",1,"In {}, they understand",Luhansk People's Republic,Russian,Russian
"In Luhansk People's Republic, they understand French.",0,"In {}, they understand",Luhansk People's Republic,French,Russian
SPECTRE's domain of work is terrorism.,1,{}'s domain of work is,SPECTRE,terrorism,terrorism
SPECTRE's domain of work is architecture.,0,{}'s domain of work is,SPECTRE,architecture,terrorism
The original language of I Am Number Four was English.,1,The original language of {} was,I Am Number Four,English,English
The original language of I Am Number Four was French.,0,The original language of {} was,I Am Number Four,French,English
Layar is headquartered in Amsterdam.,1,{} is headquartered in,Layar,Amsterdam,Amsterdam
Layar is headquartered in Canberra.,0,{} is headquartered in,Layar,Canberra,Amsterdam
The language of A Secret is French.,1,The language of {} is,A Secret,French,French
The language of A Secret is English.,0,The language of {} is,A Secret,English,French
The genre played by Jacques Ibert is opera.,1,The genre played by {} is,Jacques Ibert,opera,opera
The genre played by Jacques Ibert is thriller.,0,The genre played by {} is,Jacques Ibert,thriller,opera
Melbourne is a twin city of Milan.,1,{} is a twin city of,Melbourne,Milan,Milan
Melbourne is a twin city of Berlin.,0,{} is a twin city of,Melbourne,Berlin,Milan
"In Lucerne, the language spoken is German.",1,"In {}, the language spoken is",Lucerne,German,German
"In Lucerne, the language spoken is Russian.",0,"In {}, the language spoken is",Lucerne,Russian,German
Amiata Records was started in Florence.,1,{} was started in,Amiata Records,Florence,Florence
Amiata Records was started in Philadelphia.,0,{} was started in,Amiata Records,Philadelphia,Florence
Hamburger Hochbahn is owned by Hamburg.,1,{} is owned by,Hamburger Hochbahn,Hamburg,Hamburg
Hamburger Hochbahn is owned by Sony.,0,{} is owned by,Hamburger Hochbahn,Sony,Hamburg
Patricia Kaas writes in French.,1,{} writes in,Patricia Kaas,French,French
Patricia Kaas writes in English.,0,{} writes in,Patricia Kaas,English,French
The headquarters of Viper Comics is in Dallas.,1,The headquarters of {} is in,Viper Comics,Dallas,Dallas
The headquarters of Viper Comics is in Boston.,0,The headquarters of {} is in,Viper Comics,Boston,Dallas
"Oslo Airport, Fornebu was called after Oslo.",1,{} was called after,"Oslo Airport, Fornebu",Oslo,Oslo
"Oslo Airport, Fornebu was called after coffee.",0,{} was called after,"Oslo Airport, Fornebu",coffee,Oslo
Luigi Rizzo expired at Rome.,1,{} expired at,Luigi Rizzo,Rome,Rome
Luigi Rizzo expired at Auckland.,0,{} expired at,Luigi Rizzo,Auckland,Rome
Springwatch premieres on BBC.,1,{} premieres on,Springwatch,BBC,BBC
Springwatch premieres on CBS.,0,{} premieres on,Springwatch,CBS,BBC
Robert Prytz plays in the position of midfielder.,1,{} plays in the position of,Robert Prytz,midfielder,midfielder
Robert Prytz plays in the position of linebacker.,0,{} plays in the position of,Robert Prytz,linebacker,midfielder
Pablo Cepellini plays as midfielder.,1,{} plays as,Pablo Cepellini,midfielder,midfielder
Pablo Cepellini plays as goaltender.,0,{} plays as,Pablo Cepellini,goaltender,midfielder
Julius Vogel follows the religion of Judaism.,1,{} follows the religion of,Julius Vogel,Judaism,Judaism
Julius Vogel follows the religion of Islam.,0,{} follows the religion of,Julius Vogel,Islam,Judaism
Jus Allah originates from Camden.,1,{} originates from,Jus Allah,Camden,Camden
Jus Allah originates from London.,0,{} originates from,Jus Allah,London,Camden
The genre played by Astor Piazzolla is opera.,1,The genre played by {} is,Astor Piazzolla,opera,opera
The genre played by Astor Piazzolla is fantasy.,0,The genre played by {} is,Astor Piazzolla,fantasy,opera
Football Association of Singapore is affiliated with the FIFA.,1,{} is affiliated with the,Football Association of Singapore,FIFA,FIFA
Football Association of Singapore is affiliated with the Hamas.,0,{} is affiliated with the,Football Association of Singapore,Hamas,FIFA
Pepe Jeans is based in London.,1,{} is based in,Pepe Jeans,London,London
Pepe Jeans is based in Brisbane.,0,{} is based in,Pepe Jeans,Brisbane,London
Mary Barbour is a councillor.,1,{} is a,Mary Barbour,councillor,councillor
Mary Barbour is a bishop.,0,{} is a,Mary Barbour,bishop,councillor
The language of Lucien Leuwen is French.,1,The language of {} is,Lucien Leuwen,French,French
The language of Lucien Leuwen is Tamil.,0,The language of {} is,Lucien Leuwen,Tamil,French
Spuyten Duyvil Bridge can be found in Manhattan.,1,{} can be found in,Spuyten Duyvil Bridge,Manhattan,Manhattan
Spuyten Duyvil Bridge can be found in Vancouver.,0,{} can be found in,Spuyten Duyvil Bridge,Vancouver,Manhattan
Vilnius is a twin city of Moscow.,1,{} is a twin city of,Vilnius,Moscow,Moscow
Vilnius is a twin city of Florence.,0,{} is a twin city of,Vilnius,Florence,Moscow
Moscow theater hostage crisis can be found in Moscow.,1,{} can be found in,Moscow theater hostage crisis,Moscow,Moscow
Moscow theater hostage crisis can be found in Vienna.,0,{} can be found in,Moscow theater hostage crisis,Vienna,Moscow
Hedda Hopper took up work in Hollywood.,1,{} took up work in,Hedda Hopper,Hollywood,Hollywood
Hedda Hopper took up work in Dresden.,0,{} took up work in,Hedda Hopper,Dresden,Hollywood
Langtang National Park is located in the country of Nepal.,1,{} is located in the country of,Langtang National Park,Nepal,Nepal
Langtang National Park is located in the country of India.,0,{} is located in the country of,Langtang National Park,India,Nepal
A Charlie Brown Christmas premiered on CBS.,1,{} premiered on,A Charlie Brown Christmas,CBS,CBS
A Charlie Brown Christmas premiered on NBC.,0,{} premiered on,A Charlie Brown Christmas,NBC,CBS
Ben Myers speaks English.,1,{} speaks,Ben Myers,English,English
Ben Myers speaks Hebrew.,0,{} speaks,Ben Myers,Hebrew,English
Len Tuckey performs on the guitar.,1,{} performs on the,Len Tuckey,guitar,guitar
Len Tuckey performs on the trumpet.,0,{} performs on the,Len Tuckey,trumpet,guitar
The mother tongue of Pietro Mennea is Italian.,1,The mother tongue of {} is,Pietro Mennea,Italian,Italian
The mother tongue of Pietro Mennea is French.,0,The mother tongue of {} is,Pietro Mennea,French,Italian
Tim Mitchell is originally from Detroit.,1,{} is originally from,Tim Mitchell,Detroit,Detroit
Tim Mitchell is originally from Baghdad.,0,{} is originally from,Tim Mitchell,Baghdad,Detroit
The original language of Aucassin and Nicolette is French.,1,The original language of {} is,Aucassin and Nicolette,French,French
The original language of Aucassin and Nicolette is Russian.,0,The original language of {} is,Aucassin and Nicolette,Russian,French
Christoph Willibald von Gluck found employment in Paris.,1,{} found employment in,Christoph Willibald von Gluck,Paris,Paris
Christoph Willibald von Gluck found employment in Jerusalem.,0,{} found employment in,Christoph Willibald von Gluck,Jerusalem,Paris
The original language of Tokyo Pop was English.,1,The original language of {} was,Tokyo Pop,English,English
The original language of Tokyo Pop was Swedish.,0,The original language of {} was,Tokyo Pop,Swedish,English
Chicago Public Schools's headquarters are in Chicago.,1,{}'s headquarters are in,Chicago Public Schools,Chicago,Chicago
Chicago Public Schools's headquarters are in Stamford.,0,{}'s headquarters are in,Chicago Public Schools,Stamford,Chicago
Nissan Avenir is produced by Nissan.,1,{} is produced by,Nissan Avenir,Nissan,Nissan
Nissan Avenir is produced by Microsoft.,0,{} is produced by,Nissan Avenir,Microsoft,Nissan
Windows 1.0 is developed by Microsoft.,1,{} is developed by,Windows 1.0,Microsoft,Microsoft
Windows 1.0 is developed by Google.,0,{} is developed by,Windows 1.0,Google,Microsoft
CenturyLink is headquartered in Monroe.,1,{} is headquartered in,CenturyLink,Monroe,Monroe
CenturyLink is headquartered in Stockholm.,0,{} is headquartered in,CenturyLink,Stockholm,Monroe
The language of Nature was English.,1,The language of {} was,Nature,English,English
The language of Nature was Finnish.,0,The language of {} was,Nature,Finnish,English
The twin city of Turin is Cologne.,1,The twin city of {} is,Turin,Cologne,Cologne
The twin city of Turin is Brunswick.,0,The twin city of {} is,Turin,Brunswick,Cologne
The language of If Wishes Were Horses was English.,1,The language of {} was,If Wishes Were Horses,English,English
The language of If Wishes Were Horses was French.,0,The language of {} was,If Wishes Were Horses,French,English
"Crook, County Durham can be found in England.",1,{} can be found in,"Crook, County Durham",England,England
"Crook, County Durham can be found in Azerbaijan.",0,{} can be found in,"Crook, County Durham",Azerbaijan,England
The native language of Andrew Lang is English.,1,The native language of {} is,Andrew Lang,English,English
The native language of Andrew Lang is French.,0,The native language of {} is,Andrew Lang,French,English
Chicago Public Library's headquarters are in Chicago.,1,{}'s headquarters are in,Chicago Public Library,Chicago,Chicago
Chicago Public Library's headquarters are in Kabul.,0,{}'s headquarters are in,Chicago Public Library,Kabul,Chicago
The language used by Milo Manara is Italian.,1,The language used by {} is,Milo Manara,Italian,Italian
The language used by Milo Manara is English.,0,The language used by {} is,Milo Manara,English,Italian
Video Village was originally aired on CBS.,1,{} was originally aired on,Video Village,CBS,CBS
Video Village was originally aired on HBO.,0,{} was originally aired on,Video Village,HBO,CBS
The headquarters of Citilink is in Jakarta.,1,The headquarters of {} is in,Citilink,Jakarta,Jakarta
The headquarters of Citilink is in Frankfurt.,0,The headquarters of {} is in,Citilink,Frankfurt,Jakarta
Lenta.ru is written in Russian.,1,{} is written in,Lenta.ru,Russian,Russian
Lenta.ru is written in Italian.,0,{} is written in,Lenta.ru,Italian,Russian
Jake Burns was native to Belfast.,1,{} was native to,Jake Burns,Belfast,Belfast
Jake Burns was native to Denmark.,0,{} was native to,Jake Burns,Denmark,Belfast
Romanian Football Federation is a member of FIFA.,1,{} is a member of,Romanian Football Federation,FIFA,FIFA
Romanian Football Federation is a member of WWE.,0,{} is a member of,Romanian Football Federation,WWE,FIFA
Igor Rivin is native to Moscow.,1,{} is native to,Igor Rivin,Moscow,Moscow
Igor Rivin is native to Rome.,0,{} is native to,Igor Rivin,Rome,Moscow
Climax! was originally aired on CBS.,1,{} was originally aired on,Climax!,CBS,CBS
Climax! was originally aired on NBC.,0,{} was originally aired on,Climax!,NBC,CBS
Windows Media Player was a product of Microsoft.,1,{} was a product of,Windows Media Player,Microsoft,Microsoft
Windows Media Player was a product of IBM.,0,{} was a product of,Windows Media Player,IBM,Microsoft
London Art Fair is in London.,1,{} is in,London Art Fair,London,London
London Art Fair is in Bangkok.,0,{} is in,London Art Fair,Bangkok,London
Adobe Photoshop Lightroom is a product of Adobe.,1,{} is a product of,Adobe Photoshop Lightroom,Adobe,Adobe
Adobe Photoshop Lightroom is a product of Apple.,0,{} is a product of,Adobe Photoshop Lightroom,Apple,Adobe
Davie Fulton worked in Ottawa.,1,{} worked in,Davie Fulton,Ottawa,Ottawa
Davie Fulton worked in Luxembourg.,0,{} worked in,Davie Fulton,Luxembourg,Ottawa
FIDE is based in Athens.,1,{} is based in,FIDE,Athens,Athens
FIDE is based in Boston.,0,{} is based in,FIDE,Boston,Athens
Priska Doppmann has a citizenship from Switzerland.,1,{} has a citizenship from,Priska Doppmann,Switzerland,Switzerland
Priska Doppmann has a citizenship from Belgium.,0,{} has a citizenship from,Priska Doppmann,Belgium,Switzerland
The law in Shanghai Cooperation Organisation declares the language Russian.,1,The law in {} declares the language,Shanghai Cooperation Organisation,Russian,Russian
The law in Shanghai Cooperation Organisation declares the language English.,0,The law in {} declares the language,Shanghai Cooperation Organisation,English,Russian
Thiel Mountains is located in Antarctica.,1,{} is located in,Thiel Mountains,Antarctica,Antarctica
Thiel Mountains is located in Europe.,0,{} is located in,Thiel Mountains,Europe,Antarctica
The profession of Michael Dorn is actor.,1,The profession of {} is,Michael Dorn,actor,actor
The profession of Michael Dorn is politician.,0,The profession of {} is,Michael Dorn,politician,actor
Sheridan Morley passed away in London.,1,{} passed away in,Sheridan Morley,London,London
Sheridan Morley passed away in Prague.,0,{} passed away in,Sheridan Morley,Prague,London
iTunes was developed by Apple.,1,{} was developed by,iTunes,Apple,Apple
iTunes was developed by Microsoft.,0,{} was developed by,iTunes,Microsoft,Apple
Cassella is headquartered in Frankfurt.,1,{} is headquartered in,Cassella,Frankfurt,Frankfurt
Cassella is headquartered in Cambridge.,0,{} is headquartered in,Cassella,Cambridge,Frankfurt
The language of Le chalet is French.,1,The language of {} is,Le chalet,French,French
The language of Le chalet is Italian.,0,The language of {} is,Le chalet,Italian,French
McDonald Mariga plays as midfielder.,1,{} plays as,McDonald Mariga,midfielder,midfielder
McDonald Mariga plays as linebacker.,0,{} plays as,McDonald Mariga,linebacker,midfielder
Anders Fannemel has a citizenship from Norway.,1,{} has a citizenship from,Anders Fannemel,Norway,Norway
Anders Fannemel has a citizenship from Vietnam.,0,{} has a citizenship from,Anders Fannemel,Vietnam,Norway
"In Eskilstuna Municipality, an official language is Swedish.",1,"In {}, an official language is",Eskilstuna Municipality,Swedish,Swedish
"In Eskilstuna Municipality, an official language is Korean.",0,"In {}, an official language is",Eskilstuna Municipality,Korean,Swedish
Geneva Film Festival is located in Geneva.,1,{} is located in,Geneva Film Festival,Geneva,Geneva
Geneva Film Festival is located in Melbourne.,0,{} is located in,Geneva Film Festival,Melbourne,Geneva
"In Kolari, an official language is Finnish.",1,"In {}, an official language is",Kolari,Finnish,Finnish
"In Kolari, an official language is Portuguese.",0,"In {}, an official language is",Kolari,Portuguese,Finnish
The language used by Giulio Donadio is Italian.,1,The language used by {} is,Giulio Donadio,Italian,Italian
The language used by Giulio Donadio is Hebrew.,0,The language used by {} is,Giulio Donadio,Hebrew,Italian
Nintendo is based in Kyoto.,1,{} is based in,Nintendo,Kyoto,Kyoto
